C:\Users\nidhimh\Documents\Occlusion\train\1.jpg,1,0,0,0,0
C:\Users\nidhimh\Documents\Occlusion\train\2.jpg,1,0,0,0,0
C:\Users\nidhimh\Documents\Occlusion\train\3.jpg,1,0,0,0,0
C:\Users\nidhimh\Documents\Occlusion\train\4.jpg,1,0,0,0,0
C:\Users\nidhimh\Documents\Occlusion\train\5.jpg,1,0,0,0,0
C:\Users\nidhimh\Documents\Occlusion\train\6.jpg,1,0,0,0,0
C:\Users\nidhimh\Documents\Occlusion\train\7.jpg,1,0,0,0,0
C:\Users\nidhimh\Documents\Occlusion\train\8.jpg,1,0,0,0,0
C:\Users\nidhimh\Documents\Occlusion\train\9.jpg,1,0,0,0,0
C:\Users\nidhimh\Documents\Occlusion\train\10.jpg,1,0,0,0,0
C:\Users\nidhimh\Documents\Occlusion\train\11.jpg,1,0,0,0,0
C:\Users\nidhimh\Documents\Occlusion\train\12.jpg,1,0,0,0,0
C:\Users\nidhimh\Documents\Occlusion\train\13.jpg,0,1,1,0,0
C:\Users\nidhimh\Documents\Occlusion\train\14.jpg,0,1,1,1,0
C:\Users\nidhimh\Documents\Occlusion\train\15.jpg,1,0,0,0,0
C:\Users\nidhimh\Documents\Occlusion\train\16.jpg,1,0,0,0,0
C:\Users\nidhimh\Documents\Occlusion\train\17.jpg,1,0,0,0,0
C:\Users\nidhimh\Documents\Occlusion\train\18.jpg,1,0,0,0,0
C:\Users\nidhimh\Documents\Occlusion\train\19.jpg,1,0,0,0,0
C:\Users\nidhimh\Documents\Occlusion\train\20.jpg,1,0,0,0,0
C:\Users\nidhimh\Documents\Occlusion\train\21.jpg,1,0,0,0,0
C:\Users\nidhimh\Documents\Occlusion\train\22.jpg,1,0,0,0,0
C:\Users\nidhimh\Documents\Occlusion\train\23.jpg,1,0,0,0,0
C:\Users\nidhimh\Documents\Occlusion\train\24.jpg,1,0,0,0,0
C:\Users\nidhimh\Documents\Occlusion\train\25.jpg,1,0,0,0,0
C:\Users\nidhimh\Documents\Occlusion\train\26.jpg,1,0,0,0,0
C:\Users\nidhimh\Documents\Occlusion\train\27.jpg,1,0,0,0,0
C:\Users\nidhimh\Documents\Occlusion\train\28.jpg,1,0,0,0,0
